representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
early_concat,9,1.0,balanced,0,3,0.7586725774225773,0.38095238095238093,0.5698124791874791
early_concat,9,1.0,balanced,0,4,0.8644074403857012,0.42857142857142855,0.6464894344785649
early_concat,9,1.0,balanced,1,0,0.8316405816405817,0.32448979591836735,0.5780651887794745
early_concat,9,1.0,balanced,1,1,0.8248148409561453,0.5166666666666667,0.6707407538114061
early_concat,9,1.0,balanced,1,2,0.8519042370672805,0.5,0.6759521185336402
early_concat,9,1.0,balanced,1,3,0.8221341158841158,0.40476190476190477,0.6134480103230102
early_concat,9,1.0,balanced,1,4,0.8458633214611476,0.4976190476190476,0.6717411845400976
early_concat,9,1.0,balanced,2,0,0.8550901743758885,0.5319727891156463,0.6935314817457674
early_concat,9,1.0,balanced,2,1,0.8796691352126135,0.6047619047619046,0.7422155199872591
early_concat,9,1.0,balanced,2,2,0.8572766002113827,0.45238095238095244,0.6548287762961675
early_concat,9,1.0,balanced,2,3,0.7687624875124875,0.40476190476190477,0.5867621961371962
early_concat,9,1.0,balanced,2,4,0.8565613372135111,0.5214285714285715,0.6889949543210413
early_concat,10,10.0,none,0,0,0.7365187458044602,0.286734693877551,0.5116267198410056
early_concat,10,10.0,none,0,1,0.8408115978224675,0.4404761904761905,0.640643894149329
early_concat,10,10.0,none,0,2,0.8683092632005677,0.5047619047619047,0.6865355839812362
early_concat,10,10.0,none,0,3,0.7303021978021978,0.35714285714285715,0.5437225274725275
early_concat,10,10.0,none,0,4,0.8445341071971507,0.42857142857142855,0.6365527678842896
early_concat,10,10.0,none,1,0,0.8227130277130277,0.43673469387755104,0.6297238607952893
early_concat,10,10.0,none,1,1,0.8141059845951151,0.48095238095238096,0.647529182773748
early_concat,10,10.0,none,1,2,0.8491739058043406,0.5,0.6745869529021703
early_concat,10,10.0,none,1,3,0.8150145687645687,0.4523809523809524,0.6336977605727605
early_concat,10,10.0,none,1,4,0.8464507955812304,0.4976190476190476,0.672034921600139
early_concat,10,10.0,none,2,0,0.8525443868301011,0.4962585034013606,0.6744014451157309
early_concat,10,10.0,none,2,1,0.872712613473483,0.6047619047619046,0.7387372591176937
early_concat,10,10.0,none,2,2,0.8569535898883724,0.5,0.6784767949441862
early_concat,10,10.0,none,2,3,0.7457313519813521,0.40476190476190477,0.5752466283716284
early_concat,10,10.0,none,2,4,0.8536731384557472,0.5214285714285715,0.6875508549421594
early_concat,11,10.0,balanced,0,0,0.7387348630205774,0.286734693877551,0.5127347784490642
early_concat,11,10.0,balanced,0,1,0.8499248577509447,0.4404761904761905,0.6452005241135677
early_concat,11,10.0,balanced,0,2,0.8639802588715633,0.5047619047619047,0.684371081816734
early_concat,11,10.0,balanced,0,3,0.7307188644688646,0.35714285714285715,0.5439308608058608
early_concat,11,10.0,balanced,0,4,0.8455304840087449,0.42857142857142855,0.6370509562900867
early_concat,11,10.0,balanced,1,0,0.8167138417138418,0.41632653061224495,0.6165201861630434
early_concat,11,10.0,balanced,1,1,0.8071403053468271,0.48095238095238096,0.6440463431496041
early_concat,11,10.0,balanced,1,2,0.8519042370672805,0.5,0.6759521185336402
early_concat,11,10.0,balanced,1,3,0.8204890942390941,0.4523809523809524,0.6364350233100232
early_concat,11,10.0,balanced,1,4,0.84347460510504,0.4976190476190476,0.6705468263620438
early_concat,11,10.0,balanced,2,0,0.8514536257393399,0.4962585034013606,0.6738560645703502
