representation,trial_index,c_value,class_weight,repeat_index,fold_index,macro_auroc,balanced_accuracy,composite_score
uni2,6,0.1,none,0,4,0.7870635704874837,0.3857142857142857,0.5863889281008847
uni2,6,0.1,none,1,0,0.8157456300313443,0.3377551020408163,0.5767503660360803
uni2,6,0.1,none,1,1,0.848974938105373,0.4928571428571429,0.670916040481258
uni2,6,0.1,none,1,2,0.8557592950527733,0.4095238095238095,0.6326415522882913
uni2,6,0.1,none,1,3,0.8079462204462204,0.42857142857142855,0.6182588245088245
uni2,6,0.1,none,1,4,0.811995251125686,0.4023809523809524,0.6071881017533192
uni2,6,0.1,none,2,0,0.8213766128051844,0.4605442176870748,0.6409604152461296
uni2,6,0.1,none,2,1,0.8518553909858259,0.5928571428571429,0.7223562669214844
uni2,6,0.1,none,2,2,0.8287522622305231,0.3619047619047619,0.5953285120676425
uni2,6,0.1,none,2,3,0.8217041292041293,0.3452380952380953,0.5834711122211123
